,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
Northern Nevada HIV Outpatient Program Education and Services,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Washoe County,NV,H80CS26605
Ben Archer Health Center - Radium Springs,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM,H80CS00603
Oxford Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butler County,OH,H80CS08753
HOUGH HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH,H80CS00191
CareSouth Carolina Latta Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dillon County,SC,H80CS00654
Health Care for the Homeless-The Ozanam Inn,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS00037
Affinity Health Center- Belleview School,Yes,Service Delivery Site,Permanent,School,York County,SC,H80CS28972
CSC BENNETTSVILLE CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marlboro County,SC,H80CS00654
Tulane Adolescent Drop-In Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS00037
Bloomington Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS00222
AltaMed General Pediatrics @ Children's Hospital,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00142
Waipahu Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI,H80CS00807
Bent Tree Elementary School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00821
Schuyler Middle School,Yes,Service Delivery Site,Seasonal,School,Colfax County,NE,H80CS00862
Community Health Centers Casa,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Luis Obispo County,CA,H80CS00621
Mater International Academy,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00732
Renaissance Children's Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,CO,H80CS00040
All For Health - Nellis Blvd. II,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,H80CS12851
Neosho High School,Yes,Service Delivery Site,Seasonal,School,Newton County,MO,H80CS00673
Great Lakes Bay Health Centers  Washington Elementary,Yes,Service Delivery Site,Permanent,School,Bay County,MI,H80CS00689
San Benito Health Foundation Mobile Health Center,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,San Benito County,CA,H80CS08223
East Jefferson Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI,[No Data]
WILKINSBURG FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Allegheny County,PA,H80CS00714
ARcare-31,Yes,Service Delivery Site,Permanent,All Other Clinic Types,White County,AR,H80CS00207
HealthPoint - Creekside Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Brazos County,TX,H80CS00299
Adelante Healthcare Surprise Dental Office,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS00140
Titusville Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Crawford County,PA,H80CS00663
Cascade AIDS Project,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR,[No Data]
Sunset North Yuma Building B Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yuma County,AZ,H80CS04321
United Health Centers Dinuba,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA,H80CS00137
North Portland Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR,H80CS00149
Gilbert Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mingo County,WV,H80CS26637
Cedar Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Ingham County,MI,H80CS00030
Tom Cat Health Center,Yes,Service Delivery Site,Permanent,School,Athens County,OH,H80CS00193
East Valley Neighborhood Partnership (EVNP),Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Maricopa County,AZ,H80CS28365
Health Ministries Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Harvey County,KS,H80CS24169
Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Shasta County,CA,H80CS00832
"Family Health Centers, Inc. Optometry Mobile Unit",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orangeburg County,SC,H80CS00090
Outreach Mobile Health Services II,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Patillas Municipio,PR,H80CS00747
Cornerstone Family Healthcare Middletown Dentistry,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,NY,H80CS00469
Community Health Center of Waterbury,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Naugatuck Valley Planning Region,CT,H80CS00326
Cedar House,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS12851
HEALTH WEST - EVANSTON CHC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Uinta County,WY,H80CS00321
Ezra dental van -- #2,Yes,Service Delivery Site,Mobile Van,School,Kings County,NY,H80CS24164
Community Care of Bridgeport,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harrison County,WV,H80CS00080
OIC Family Medical Center at Happy Hill,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nash County,NC,H80CS24162
Dr. Greg Elkins Memorial Building,No,Administrative,Permanent,All Other Clinic Types,Lincoln County,WV,H80CS00254
Kirksville Veteran's Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adair County,MO,H80CS00731
High Roads School of Hartford: Primary and Middle School,Yes,Service Delivery Site,Seasonal,School,Capitol Planning Region,CT,H80CS00153
Sun River Health Patchogue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,NY,H80CS00313
Migrant Camps on Upper Eastern Shore (15 Camps),Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Caroline County,MD,H80CS00176
Cumberland Medical/Dental Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Harlan County,KY,H80CS00367
Franklin Elementary,Yes,Service Delivery Site,Seasonal,School,Manitowoc County,WI,H80CS24152
AAPHC Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dougherty County,GA,H80CS00763
Women's Health Center of Plano,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Collin County,TX,H80CS00553
Hardeman County Community Health Center Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Hardeman County,TN,H80CS00530
Sandpoint High School,Yes,Service Delivery Site,Seasonal,School,Bonner County,ID,H80CS00302
HWC Adventure Head Start-Sallisaw,Yes,Service Delivery Site,Seasonal,School,Sequoyah County,OK,H80CS04286
Somersworth High School,Yes,Service Delivery Site,Seasonal,School,Strafford County,NH,H80CS04210
Great Lakes Bay Health Centers TRI-CAP,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Saginaw County,MI,H80CS00689
Center for Learning and Innovation--La Clinica,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,OR,H80CS00759
Fremont Wellness Center,Yes,Service Delivery Site,Permanent,School,Los Angeles County,CA,H80CS10609
BHA Firehouse Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Brevard County,FL,H80CS04213
AARON E. HENRY - CLARKSDALE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coahoma County,MS,H80CS00480
"East Central Oklahoma Family Health Center, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Okmulgee County,OK,H80CS10583
Hart Magnet School SBHC,Yes,Service Delivery Site,Permanent,School,Western Connecticut Planning Region,CT,H80CS00326
Orchard View Middle School,Yes,Service Delivery Site,Seasonal,School,Muskegon County,MI,H80CS00684
Aria Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA,H80CS08739
Healthy Development Services Center - Central Region,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00224
Turning Point,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IN,[No Data]
Claxton Elementary School,Yes,Service Delivery Site,Permanent,School,Buncombe County,NC,H80CS08786
Seattle Roots at Nova,Yes,Service Delivery Site,Seasonal,School,King County,WA,H80CS00647
"All for Health, Health for All--Burbank",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS12851
"AMITE COUNTY MEDICAL SERVICES, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Amite County,MS,H80CS00609
School District of White Lake,Yes,Service Delivery Site,Permanent,School,Langlade County,WI,H80CS08784
MHC Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Henry County,VA,H80CS08749
LCHC at Archer Avenue,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00725
PrimaryPlus - Denham Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mason County,KY,H80CS00106
Marfa Community Health Clinic.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Presidio County,TX,H80CS08235
1842 Bay Road,No,Administrative,Permanent,All Other Clinic Types,San Mateo County,CA,H80CS00145
DePaul Community Health Center - Central City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS24198
Scenic Bluffs CHC - Admin,No,Administrative,Permanent,Unknown,Monroe County,WI,H80CS00824
Cordova High School,Yes,Service Delivery Site,Permanent,School,Sacramento County,CA,H80CS00045
NORRBACK AVENUE SCHOOL HLTH CTR,Yes,Service Delivery Site,Seasonal,School,Worcester County,MA,H80CS00465
VALLEY HEALTH - FORT GAY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,WV,H80CS00614
Equitas Health Dayton #2,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Montgomery County,OH,[No Data]
"Oconee Valley Healthcare, Inc. Greensboro",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Greene County,GA,H80CS00764
Homestead Middle,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00821
"Family Health Center, Inc. Mobile Unit",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Jones County,MS,H80CS00538
Coal Country Community Health Center - Hazen Elementary School Clinic,Yes,Service Delivery Site,Seasonal,School,Mercer County,ND,H80CS09469
Jefferson Community Health Care Centers DBA InclusivCare-RFK Lafitte Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson Parish,LA,H80CS06716
Eau Claire Family Dentistry at Monticello Road,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richland County,SC,H80CS00730
FHS BH @ Sailorway Middle School,Yes,Service Delivery Site,Seasonal,School,Erie County,OH,H80CS28351
Laurel Dental - Towanda,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bradford County,PA,H80CS00682
SIHF Healthcare – Belleville Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Clair County,IL,H80CS00195
Juniata Valley BTAMC Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Huntingdon County,PA,H80CS00330
United Health Centers Fresno Blackstone,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA,H80CS00137
JR Pharmacy 4 - Rockville,No,Administrative,Permanent,All Other Clinic Types,Parke County,IN,H80CS08776
LAC-VALENCIA HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00139
AHL Dorseyville Elementary SBHC,Yes,Service Delivery Site,Seasonal,School,Iberville Parish,LA,H80CS00867
Zapata,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Zapata County,TX,H80CS00779
Terry Reilly Latah Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ada County,ID,H80CS00636
ANESIA KUDRIN MEMORIAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Aleutians East Borough,AK,H80CS00740
The Wellness Center @ Maupin Elementary,Yes,Service Delivery Site,Seasonal,School,Jefferson County,KY,H80CS28961
CareConnect Convenient Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Houston County,GA,H80CS00393
Everett Community Health Center,Yes,Service Delivery Site,Permanent,School,Ingham County,MI,H80CS00030
Healthy Kids + Lumpkin,Yes,Service Delivery Site,Permanent,School,Lumpkin County,GA,H80CS00093
CVHS- Blue Devils Health Center,Yes,Service Delivery Site,Permanent,School,Hopewell City,VA,H80CS00479
County of Monterey - Laurel Family Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monterey County,CA,H80CS33795
Parker Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis and Clark County,MT,H80CS33884
Laurens Community Care Medical Home Referral Center,Yes,Service Delivery Site,Permanent,Hospital,Laurens County,SC,H80CS00785
Palms Medical Group - High Springs,No,Administrative,Permanent,All Other Clinic Types,Alachua County,FL,H80CS00691
OIC FMC Guardian Court,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nash County,NC,H80CS24162
United Health Centers Fresno Milburn,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA,H80CS00137
Palm Center Homeless Support Services Site,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS04214
UNION Mobile Dental Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Bronx County,NY,H80CS28355
HIV Health Services Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR,H80CS00149
Hardeeville Junior and Senior High,Yes,Service Delivery Site,Seasonal,School,Jasper County,SC,H80CS00699
HWC - Checotah,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McIntosh County,OK,H80CS04286
Rosie's Place,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA,H80CS00006
Neighborhood Health at South County Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fairfax County,VA,H80CS02446
Grace CHC SBH W.B. Muncy Elementary,Yes,Service Delivery Site,Seasonal,School,Leslie County,KY,H80CS09959
WORCESTER TECHNICAL HIGH SCHOOL-B124-125,Yes,Service Delivery Site,Seasonal,School,Worcester County,MA,H80CS00465
Lake Monticello Family Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fairfield County,SC,H80CS00730
Citrus Maternal and Child Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS04214
Health Ministries Clinic: Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Harvey County,KS,H80CS24169
GPHA - Spectrum Behavioral Healthcare Center,Yes,Service Delivery Site,Permanent,School,Delaware County,PA,H80CS00708
Norwood School Based Health Center,Yes,Service Delivery Site,Permanent,School,Hamilton County,OH,H80CS00200
YOUTH HEART HEALTH CENTER,Yes,Service Delivery Site,Permanent,School,Alameda County,CA,H80CS00631
North Washington Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Washington County,KY,H80CS08218
San Ysidro Health Mobile Health Services 1K,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,San Diego County,CA,H80CS10748
Berlin BH &CC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Worcester County,MD,H80CS00774
La Maestra Family Clinic Inc.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00812
LRMC: MYRTLE BEACH MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Horry County,SC,H80CS00700
HealthFirst Harrodsburg,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fayette County,KY,H80CS28202
Baldwin Family Medicine Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oakland County,MI,H80CS28354
BCHS Mobile Unit #2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orleans Parish,LA,H80CS33653
Meridian Health Services Corp,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Delaware County,IN,H80CS26567
Heartland Health Services - Kansas,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Peoria County,IL,H80CS02457
Jane Pauley Community Health Center at Post,Yes,Service Delivery Site,Permanent,School,Marion County,IN,H80CS26566
Dinuba Community Health Center – Building 2,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA,H80CS00525
Macon Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Macon County,MO,H80CS00731
Mobile Clinic #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,San Joaquin County,CA,[No Data]
AARON E. HENRY - MOBILE MEDICAL UNIT #1 (Old),Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Coahoma County,MS,H80CS00480
